Geneid,SSCF31.bam,SSCF32.bam,SSCF33.bam,SSCF38.bam,SSCF39.bam
angptl4,797,928,1391,1053,927
angptl6,105,155,86,73,217
angptl7,0,0,0,0,0
ank1a,170,151,72,91,80
ank2a,497,584,580,612,544
ank3b,198,302,89,164,293
ankdd1b,0,6,10,6,9
ankef1a,0,0,0,0,1
ankfn1,337,403,297,355,449
ankfy1,2575,2606,1914,1797,2216
ankha,3584,4931,1797,3764,2775
ankhd1,3383,5231,3251,4806,3977
ankib1a,878,548,804,773,646
ankk1,0,1,0,5,1
ankle1,530,590,367,384,393
ankle2,1809,1778,1624,1760,1618
ankmy2a,3422,3243,1987,2371,2973
ankra2,103,151,86,166,173
ankrd10b,719,639,483,285,602
ankrd11,548,586,423,500,505
ankrd12,581,583,511,405,511
ankrd13a,2475,2730,2962,2076,2584
ankrd13b,10,13,8,12,8
ankrd13d,3996,4026,2934,3040,3498
ankrd16,231,87,150,205,189
ankrd22,306,241,266,388,393
ankrd24,53,46,47,293,61
ankrd27,379,366,208,248,438
ankrd28b,2474,2591,1880,1993,2220
ankrd29,13,8,12,4,17
ankrd33aa,0,1,0,0,4
ankrd33ab,2,0,0,0,0
ankrd33ba,62,17,26,16,16
ankrd33bb,0,0,0,0,0
ankrd34bb,4,2,0,2,0
ankrd34c,0,0,0,0,0
ankrd39,250,383,283,210,347
ankrd40,2552,1813,1522,1662,2448
ankrd44,484,496,375,642,475
ankrd49,512,1000,614,746,446
ankrd50,1054,947,732,884,866
ankrd52a,1504,1945,1572,1619,1742
ankrd52b,350,286,261,226,313
ankrd54,861,982,858,711,933
ankrd9,183,172,135,152,183
anks1ab,100,109,263,145,159
anks1b,214,224,125,107,288
anks3,394,495,223,265,478
anks4b,1437,1254,1207,1386,1130
ankzf1,3062,4117,3664,3855,3378
anln,4287,3658,3590,3320,3924
ano10b,17,5,4,1,9
ano1a,122,86,95,264,66
ano2b,40,111,32,19,44
ano3,46,32,28,30,78
ano5a,872,707,471,580,701
ano5b,354,1394,454,1049,436
ano6,770,817,366,669,593
ano7,45,110,106,103,101
ano8b,6,18,21,18,13
anos1b,24,11,2,0,0
anp32a,1934,3381,2366,2198,2182
anp32b,1340,2356,1234,1672,1192
anpeplb,2,0,4,6,0
antkmt,1211,1193,659,1076,1601
antxr1a,1,2,10,1,3
antxr1c,268,220,120,69,145
antxr1d,44,28,19,28,54
antxr2a,884,1018,711,716,1188
anxa14,926,553,895,908,717
anxa1a,20754,24810,20288,20533,24776
anxa3b,3245,2623,2704,3188,2432
anxa4,2718,3978,2753,4270,3756
anxa5a,36,79,54,20,11
anxa5b,3896,4016,2735,4219,4721
anxa6,185,136,222,87,248
aoc1,1084,789,561,937,457
aoc2,26,14,4,16,8
aopep,501,448,285,556,449
ap1ar,3056,3233,2542,2667,2895
ap1b1,5242,5255,3568,3030,4956
ap1g1,3165,2283,2245,2466,2280
ap1g2,1177,929,953,983,1019
ap1m1,1708,1007,1003,844,704
ap1m2,997,1303,867,829,1276
ap1m3,1256,1670,1187,1266,1765
ap1s1,927,803,755,726,808
ap1s2,1449,2658,2905,1508,2063
ap1s3a,6924,3833,6370,3859,4121
ap1s3b,1834,1860,1312,1361,2260
ap2a1,5759,5497,5049,4324,5555
ap2b1,964,968,861,825,909
ap2s1,2773,2715,3123,1934,2837
ap3b1a,947,2128,1006,1310,1407
ap3d1,2878,3258,2262,3098,2946
ap3m1,609,500,483,522,431
ap3m2,1060,805,950,733,762
ap3s2,757,534,929,861,629
ap4b1,613,804,451,449,571
ap4e1,819,630,799,721,553
ap4m1,86,211,103,144,88
ap4s1,586,605,714,499,603
ap5b1,628,858,566,780,677
ap5m1,672,934,714,590,696
ap5s1,379,339,402,176,159
ap5z1,283,360,273,284,364
apaf1,532,680,445,547,305
apba2a,12,13,4,5,10
apba2b,0,6,0,2,6
apbb1,2158,2657,1868,2276,2654
apbb1ip,217,74,6,63,194
apbb2b,2117,2128,1574,2067,1914
apbb3,0,0,0,0,0
apc2,275,1555,148,1125,289
apc,625,316,596,220,761
apcdd1l,8,6,16,4,8
apeh,1712,1474,1309,1187,1042
apex1,1605,1870,888,1317,1494
apex2,398,479,380,524,374
aph1b,619,612,764,1036,507
api5,2013,2452,1712,1242,2174
apip,1839,1853,1510,1484,1687
aplf,249,370,171,253,304
apln,14,0,17,8,8
aplnr2,0,4,4,14,2
aplnra,6,2,0,8,15
aplp1,117,84,95,44,117
aplp2,1617,1231,1300,697,1012
apmap,775,1029,916,855,1159
apnl,3,2,2,0,4
apoa1b,527,27,78,476,16
apoa2,4,4,2,0,12
apoa4a,212,91,183,146,139
apobb.1,64,65,161,198,217
apobec2b,2,2,0,0,0
apoc2,20,34,36,60,42
apoc4,0,0,0,0,2
apodb,360,645,519,323,215
apoea,10,2,18,38,0
apoeb,8116,508,433,575,338
apof,15,7,9,14,5
apol1,1024,1104,923,736,104
apol,42,97,40,2,1019
apold1b,1253,1790,714,965,1153
apool,1720,1776,1628,1661,1354
appa,244,678,193,470,387
appbp2,124,39,173,141,40
appl1,144,303,110,61,173
appl2,786,532,1075,493,535
aprt,3199,2493,2173,3214,3044
aptx,915,987,818,696,857
