Geneid,SSCN43.bam,SSCN44.bam,SSCP22.bam,SSCP26.bam,SSCP28.bam,SSCP29.bam,SSCP30.bam
agbl4,74,198,64,88,82,56,84
agbl5,1663,1355,740,1702,950,936,710
agfg1a,805,757,1296,637,772,962,1132
agfg1b,528,462,1529,572,671,641,880
agfg2,253,275,591,354,363,585,393
aggf1,1258,1294,2879,1502,1756,1425,1723
agk,696,803,858,832,641,733,959
agla,1093,540,1211,1650,709,975,1059
agmat,405,200,296,259,243,428,349
agmo,442,79,558,287,246,690,755
ago1,485,225,1108,452,486,658,686
ago2,848,460,615,415,632,997,1164
ago3a,1141,504,2307,1213,1609,1217,2316
ago3b,910,695,1458,1070,1108,972,1076
ago4,1705,580,1491,1119,1282,1020,1893
agpat2,1252,1126,2057,1328,1384,1981,2028
agpat3,1516,1089,1239,1182,1229,1227,1797
agpat4,2505,2333,1236,439,999,959,609
agpat5,919,835,1231,916,894,1185,1302
agpat9l,470,303,1102,274,678,489,717
agps,1295,1299,2473,1208,2314,1263,2251
agr2,6,15,0,10,72,6,6
agrn,2099,1407,3712,1022,2616,1356,1962
agrp,0,0,0,4,0,10,1
agt,10,6,2,0,30,0,10
agtpbp1,765,513,1005,640,548,898,680
agtr1b,60,125,108,65,256,41,136
agtr2,213,38,14,4,22,24,47
agtrap,172,55,24,25,54,21,20
agxt2,49,178,177,144,250,106,230
agxta,34,31,327,44,93,72,44
agxtb,2,26,0,38,92,3,12
ahctf1,4355,2214,3656,3361,3318,2771,4510
ahcy,3037,3683,5436,4827,5310,2237,4598
ahcyl1,120,74,374,185,99,432,176
ahcyl2b,556,227,758,483,625,593,815
ahdc1,241,91,286,113,257,271,350
ahi1,945,432,692,720,492,726,628
ahnak,52590,24279,23595,18537,41966,9541,36790
ahrra,111,48,175,108,82,181,289
ahsa1b,3053,2563,2365,3269,2543,2574,3516
ahsg2,14,32,18,21,46,11,10
aida,686,697,960,1003,438,528,453
aif1l,5078,4039,6842,4797,7658,3849,6092
aifm1,1533,1514,3420,1314,2151,1601,2705
aifm4,293,266,378,243,304,435,461
aig1,1302,3051,1606,1734,1073,1489,1443
