Geneid,SSCN43.bam,SSCN44.bam,SSCP22.bam,SSCP26.bam,SSCP28.bam,SSCP29.bam,SSCP30.bam
kirrel1b,1978,2108,3161,3223,3534,2078,3241
kirrel3b,438,213,97,6,136,99,121
kirrel3l,46,5,28,18,112,37,59
kiss1ra,9,178,704,44,1301,71,557
kiss2,0,0,0,0,0,0,0
kita,88,27,108,28,72,6,27
kitb,19,10,22,4,12,5,25
kitlga,82,47,38,29,93,46,93
kiz,591,790,448,1102,523,683,572
kl,23,2,148,14,47,16,3
klb,8,0,34,15,20,11,5
klc1a,694,429,723,1192,508,500,529
klc1b,7118,9220,5516,6597,6937,3345,3918
klc3,842,1200,1717,1180,852,1097,1092
klf11b,357,16,679,432,704,416,307
klf1,27,398,25,219,523,2,631
klf12b,628,358,534,3,221,242,163
klf13,334,156,126,537,55,96,33
klf15,233,206,55,114,58,110,142
klf17,107,265,367,187,392,342,377
klf2b,1119,1341,3465,1739,1491,1276,2472
klf3,1309,1784,1462,1307,1272,940,1656
klf4,355,449,1274,335,465,416,625
klf5a,179,88,477,168,225,351,313
klf5l,241,18,1086,212,351,337,308
klf6a,3956,3015,4434,2459,5688,2197,5054
klf8,782,930,1197,1087,987,668,1083
klf9,375,231,501,442,233,448,382
klhdc10,673,536,822,827,615,816,886
klhdc3,288,45,77,159,139,108,147
klhdc4,851,764,929,808,1246,714,1191
klhdc7a,0,0,0,0,3,0,0
klhdc8a,107,66,238,21,62,80,137
klhl11,485,594,1067,745,659,1078,1189
klhl12,1255,585,1108,1035,1260,1764,1435
klhl13,1128,1154,1458,2534,933,1826,1330
klhl14,902,284,3430,827,707,2458,1998
klhl15,1239,978,2424,1368,1252,2171,2125
klhl17,207,257,765,356,373,459,600
klhl18,603,258,756,755,492,439,604
klhl20,1345,958,883,1576,1157,1096,1430
klhl21,1436,588,424,792,515,390,421
klhl22,866,189,225,500,357,194,175
klhl23,44,384,108,18,28,46,61
klhl2,380,14,68,428,215,146,269
klhl24a,490,65,1776,223,507,1117,1579
klhl26,736,626,826,797,642,820,738
klhl30,9,6,0,4,3,1,0
klhl31,445,89,20,29,32,39,140
klhl32,99,53,1219,61,88,76,100
klhl3,447,711,127,598,550,854,789
klhl40b,2,0,0,0,0,0,1
klhl41a,16,38,127,48,18,76,28
klhl42,325,242,60,345,310,418,466
klhl4,28,150,706,25,81,32,128
klhl43,211,54,160,29,80,69,35
klhl5,217,107,684,150,265,200,329
klhl8,226,65,317,226,326,235,365
kmt2a,1064,662,1655,575,793,944,1177
kmt2ba,1836,1049,2769,1822,1278,2010,1494
kmt2cb,1497,491,1718,829,1084,1403,1634
kmt2d,1597,715,2181,682,1068,1493,1379
kmt2e,945,286,1999,641,780,1345,1131
kmt5aa,276,414,395,388,269,179,375
kmt5ab,560,537,459,579,398,522,514
kmt5b,1905,1074,2536,1700,1543,2129,2841
kmt5c,690,254,812,450,470,747,701
kng1,35,40,70,91,90,155,60
knl1,1637,781,2574,1178,1093,2559,2361
knop1,1397,1983,1207,1791,1256,1659,1954
knstrn,444,397,986,354,428,1443,1237
kntc1,1041,360,1599,708,686,1635,1226
kpna2,3234,3158,2543,3557,2110,3438,4638
kpna3,1190,975,2316,976,1267,1715,1757
kpna4,3122,396,757,1024,1712,802,1513
kpna5,1436,1276,1639,1267,1284,1058,1932
kpna7,130,55,163,420,70,501,5298
kpnb1,2441,1409,3546,2733,2449,2301,3276
kpnb3,7068,5409,13008,6677,6773,6540,9401
kptn,529,469,677,694,809,432,706
kras,2961,4120,6158,4237,4635,3050,5576
kremen1,239,323,483,213,162,458,280
kri1,1105,1547,2210,831,1124,1403,1451
krit1,843,685,1357,657,1226,1485,1539
krr1,1140,1692,1275,1252,1075,1450,1444
krt18a.1,47536,68296,27953,37083,58188,13277,50100
krt1-c5,0,0,0,0,12,5,4
krt222,42,16,100,45,42,96,76
krt94,78467,108867,175600,25113,61870,18459,64502
krt98,12,57,10,10,17,12,20
krtcap2,1211,2153,2143,1670,1578,2045,2044
ksr1a,457,251,410,406,420,512,751
ksr2,516,230,284,229,154,311,242
kti12,595,1009,834,813,663,1042,1315
ktn1,9826,7575,5684,5618,6617,3995,6080
kxd1,697,932,1008,1011,824,884,935
ky,8,6,4,60,8,51,2
kyat1,477,438,618,527,627,815,796
kynu,73,123,68,141,141,72,120
l1cama,249,92,408,64,237,78,274
l2hgdh,418,363,773,329,443,577,722
l3mbtl1,2199,2349,1363,2143,1928,1977,1830
l3mbtl1b,1000,896,1670,849,1009,1612,1500
l3mbtl2,820,746,1170,757,1012,1138,1141
lacc1,61,151,413,244,204,111,164
lactb2,215,252,203,291,240,169,226
lactb,423,426,628,455,544,424,559
lactbl1a,1,0,32,4,2,2,1
lactbl1b,12,2,12,25,8,38,19
lad1,382,43,1455,159,797,200,67
lama1,532,221,1327,454,243,558,458
lama2,1922,543,570,100,925,71,1079
lama3,551,120,989,325,387,1075,646
lama4,2721,1837,1214,358,1523,809,1651
lama5,1395,418,1505,761,918,944,640
lamb1a,5355,1905,3055,397,5225,1867,2854
lamb2,1133,579,1036,95,306,153,624
lamb2l,5940,4409,16892,4631,9994,4516,7267
lamb3,301,36,572,151,223,245,1105
lamc1,1481,1614,4874,1460,2227,1573,2462
lamc2,374,479,250,220,65,510,390
lamc3,679,406,278,45,255,105,628
lamp1a,2101,1120,2131,1062,2043,1650,2719
lamp1b,2678,2448,1192,2924,1964,2023,1775
lamp2,3818,2461,5515,2682,4067,3596,6279
lamp5,2,14,13,2,2,12,8
lamtor1,1164,696,773,1053,1164,1015,1634
lamtor2,537,276,750,524,687,514,803
lamtor3,657,1715,1902,934,1082,604,926
lamtor4,1512,2587,2519,2052,2257,1570,1942
lamtor5,696,1335,774,859,987,622,874
lancl1,429,242,211,344,246,230,206
lancl2,4560,12716,1533,5802,4497,2814,2490
lap3,672,908,1341,749,885,432,1140
laptm4a,1511,1655,2467,1831,2074,3172,2272
laptm4b,112,88,172,99,152,144,260
large1,983,403,3327,1054,1093,1857,1505
larp1,1074,794,1432,1115,998,982,1730
larp1b,1685,982,2866,2275,1505,1751,1487
larp4ab,3310,2104,3052,2888,2375,3533,2803
larp4b,809,370,1768,1083,989,1152,1093
larp6a,328,345,561,215,196,278,577
larp7,444,385,679,623,634,518,294
lars1b,3471,5603,3885,3108,2753,1756,2242
lars2,473,301,534,505,373,279,396
las1l,905,861,294,796,694,769,995
lasp1,2163,1347,3589,1940,2485,1073,2148
lats1,353,222,812,456,406,580,614
lats2,1624,583,1307,550,1048,1116,1518
layna,430,12,0,0,0,2,4
laynb,187,232,194,115,173,189,413
lbh,1755,456,1643,970,1371,532,1664
lbhl,6,4,14,0,7,0,14
lbr,723,339,653,774,662,949,914
lbx1b,6,2,3,3,2,6,14
lbx2,16,18,30,138,37,54,82
lca5,270,178,374,495,255,392,332
lcat,115,69,182,56,109,126,51
lck,174,129,94,28,158,78,119
lclat1,339,346,592,507,458,348,482
lcmt1,426,687,739,604,500,541,628
lcmt2,259,218,269,303,332,481,426
lcor,867,401,676,635,464,670,830
lcorl,994,654,1104,813,729,1060,1347
lcp1,2280,870,1046,907,1256,839,855
lcp2a,783,628,903,534,987,766,832
lctlb,0,0,12,1,0,0,2
ldah,664,753,1225,620,827,779,797
ldb1b,1790,841,2075,1435,1753,1837,2510
ldb2a,84,51,170,65,186,269,257
ldb3b,148,303,655,441,221,549,280
